"","feature(race-gender-age)","defendant_id","image_id","index_per_block","block"
"501","2-1-1","5544","BF-004",3,14
"502","1-0-1","5553","WM-006",3,8
"503","2-0-4","5557","BM-244",2,1
"504","1-0-2","5563","WM-011",2,10
"505","2-1-2","5575","BF-009",2,6
"506","1-0-3","5593","WM-201",3,1
"507","2-0-1","5600","BM-003",3,9
"508","1-0-3","5607","WM-221",5,3
"509","2-0-2","5614","BM-017",3,3
"510","1-0-2","5623","WM-012",3,10
"511","1-0-3","5634","WM-018",1,14
"512","1-1-4","5635","WF-246",2,12
"513","2-0-1","5646","BM-013",6,18
"514","2-1-3","5647","BF-027",2,1
"515","2-0-1","5650","BM-005",4,16
"516","1-1-1","5655","WF-001",1,16
"517","2-0-2","5669","BM-017",3,19
"518","1-0-0","5670","WM-001",1,9
"519","2-0-2","5673","BM-017",3,10
"520","2-0-3","5678","BM-021",2,12
"521","1-0-1","5689","WM-010",5,11
"522","2-0-3","5727","BM-021",2,13
"523","2-0-2","5745","BM-017",3,9
"524","2-0-2","5754","BM-018",4,19
"525","1-0-3","5760","WM-023",2,19
"526","2-0-4","5765",NA,6,2
"527","2-1-3","5793","BF-024",1,16
"528","1-0-4","5801",NA,3,18
"529","2-0-1","5818","BM-005",4,17
"530","1-0-2","5821","WM-012",3,9
"531","2-0-1","5825","BM-013",6,19
"532","1-0-1","5830","WM-004",2,4
"533","1-1-1","5850","WF-001",1,7
"534","2-1-4","5852","BF-211",2,6
"535","2-0-2","5877","BM-017",3,20
"536","2-0-4","5882","BM-225",1,5
"537","1-0-4","5886",NA,5,7
"538","2-0-2","5917","BM-018",4,3
"539","1-0-4","5921",NA,3,13
"540","1-0-2","5923","WM-012",3,6
"541","2-0-1","5935","BM-002",2,15
"542","1-0-4","5939","WM-249",2,11
"543","3-1-2","5951","LF-200",1,15
"544","1-0-4","5968",NA,3,10
"545","1-0-4","5985","WM-249",2,4
"546","1-0-4","5993",NA,6,7
"547","1-0-1","5997","WM-006",3,20
"548","2-1-1","6000","BF-003",2,12
"549","1-0-4","6022",NA,4,13
"550","1-0-4","6043","WM-249",2,16
"551","1-0-2","6056","WM-002",1,17
"552","1-1-2","6064","WF-002",1,1
"553","1-0-2","6094","WM-002",1,19
"554","2-0-0","6096","BM-036",2,5
"555","2-0-1","6129","BM-016",8,5
"556","2-1-3","6164","BF-202",3,11
"557","2-0-2","6170","BM-017",3,5
"558","2-1-4","6171","BF-234",3,4
"559","1-1-4","6189","WF-240",1,2
"560","2-0-4","6205","BM-244",2,8
"561","2-0-3","6207","BM-012",1,2
"562","1-0-3","6229","WM-023",2,6
"563","2-0-4","6240",NA,7,2
"564","1-0-3","6249","WM-201",3,15
"565","2-0-2","6251","BM-018",4,5
"566","2-1-2","6264","BF-010",3,16
"567","1-1-4","6267","WF-240",1,19
"568","2-1-2","6278","BF-011",4,16
"569","1-0-0","6314","WM-001",1,3
"570","2-0-2","6315","BM-018",4,20
"571","2-0-1","6319","BM-005",4,7
"572","2-0-3","6320","BM-033",4,14
"573","2-0-4","6339",NA,4,11
"574","1-0-3","6360","WM-023",2,10
"575","1-0-1","6377","WM-009",4,5
"576","1-0-1","6379","WM-009",4,6
"577","3-0-1","6386","LM-200",1,4
"578","1-1-2","6389","WF-002",1,19
"579","2-0-1","6391","BM-016",8,20
"580","2-0-1","6420","BM-015",7,19
"581","3-0-4","6424","LM-222",2,6
"582","1-1-3","6432","WF-014",1,16
"583","1-0-1","6443","WM-009",4,8
"584","2-0-4","6449",NA,6,10
"585","2-1-1","6481","BF-004",3,16
"586","3-0-3","6503","LM-204",1,16
"587","1-0-4","6525",NA,3,14
"588","1-0-1","6537","WM-004",2,18
"589","3-0-1","6546","LM-206",2,4
"590","1-0-4","6570",NA,5,13
"591","2-1-2","6574","BF-007",1,12
"592","1-1-4","6586","WF-240",1,5
"593","2-0-3","6595","BM-012",1,9
"594","2-0-4","6606",NA,4,17
"595","2-0-4","6631",NA,4,13
"596","2-0-3","6658","BM-021",2,8
"597","1-0-1","6661","WM-006",3,13
"598","2-0-2","6668","BM-011",2,11
"599","2-1-1","6683","BF-003",2,3
"600","1-0-3","6687","WM-023",2,11
"601","2-0-1","6690","BM-013",6,10
"602","2-0-1","6744","BM-016",8,19
"603","2-0-2","6766","BM-017",3,18
"604","1-1-3","6769","WF-026",2,12
"605","2-0-4","6788","BM-244",2,20
"606","2-0-4","6791","BM-244",2,16
"607","1-0-4","6801",NA,7,7
"608","2-0-1","6805","BM-019",9,19
"609","1-1-4","6818","WF-246",2,17
"610","2-0-2","6862","BM-018",4,9
"611","2-0-1","6864","BM-003",3,15
"612","1-0-1","6875","WM-006",3,16
"613","1-0-2","6884","WM-012",3,2
"614","2-0-2","6908","BM-022",6,6
"615","3-0-0","6911","LM-207",1,17
"616","2-0-1","6916","BM-005",4,9
"617","1-0-4","6939",NA,4,17
"618","1-1-4","6963","WF-240",1,18
"619","2-1-1","6980","BF-004",3,7
"620","2-1-0","6996","BF-002",1,14
"621","2-0-4","7003","BM-244",2,5
"622","2-0-4","7010","BM-245",3,3
"623","2-0-1","7012","BM-010",5,7
"624","1-0-1","7023","WM-009",4,20
"625","1-1-4","7032","WF-246",2,2
"626","2-0-1","7037","BM-010",5,16
"627","2-0-4","7051","BM-245",3,16
"628","1-0-1","7079","WM-006",3,3
"629","1-1-1","7084","WF-001",1,19
"630","2-0-2","7099","BM-018",4,10
"631","2-0-4","7112","BM-225",1,12
"632","2-0-1","7123","BM-015",7,14
"633","3-0-4","7148","LM-203",1,10
"634","2-0-0","7153","BM-037",3,20
"635","2-1-2","7166","BF-007",1,15
"636","1-0-1","7170","WM-009",4,3
"637","2-0-4","7178","BM-225",1,9
"638","2-0-1","7199","BM-013",6,4
"639","3-0-3","7206","LM-204",1,15
"640","2-0-2","7219","BM-020",5,3
"641","2-0-1","7224","BM-002",2,3
"642","2-0-3","7231","BM-033",4,19
"643","3-0-3","7234","LM-204",1,12
"644","2-0-1","7245","BM-013",6,7
"645","2-1-1","7247","BF-001",1,11
"646","1-0-1","7257","WM-010",5,8
"647","2-0-1","7258","BM-019",9,5
"648","1-0-1","7259","WM-010",5,6
"649","1-1-4","7269","WF-246",2,18
"650","2-1-3","7298","BF-024",1,19
"651","2-0-1","7315","BM-003",3,3
"652","1-0-1","7320","WM-006",3,15
"653","2-0-3","7323","BM-021",2,9
"654","1-0-2","7324","WM-012",3,1
"655","2-0-1","7334","BM-023",10,19
"656","1-1-2","7340","WF-002",1,8
"657","2-0-1","7341","BM-005",4,15
"658","2-0-3","7348","BM-025",3,6
"659","1-1-2","7355","WF-002",1,14
"660","2-1-4","7381","BF-211",2,13
"661","2-0-2","7411","BM-018",4,18
"662","1-0-1","7412","WM-004",2,1
"663","3-0-1","7416","LM-208",3,3
"664","2-0-1","7427","BM-010",5,12
"665","1-1-2","7437","WF-002",1,4
"666","3-0-2","7445","LM-201",1,8
"667","2-0-1","7455","BM-010",5,17
"668","2-0-1","7457","BM-023",10,5
"669","2-0-1","7459","BM-010",5,15
"670","1-0-3","7468","WM-023",2,7
"671","1-0-4","7472","WM-249",2,6
"672","2-0-0","7488","BM-009",1,13
"673","3-0-4","7508","LM-236",3,11
"674","2-1-3","7517","BF-024",1,4
"675","1-0-1","7526","WM-003",1,14
"676","1-1-4","7555","WF-240",1,6
"677","2-1-4","7578","BF-234",3,6
"678","2-0-1","7581","BM-003",3,13
"679","2-0-2","7602","BM-020",5,5
"680","2-0-4","7605","BM-225",1,7
"681","2-1-1","7607","BF-005",4,14
"682","2-0-2","7615","BM-020",5,17
"683","1-0-1","7631","WM-006",3,19
"684","2-1-3","7636","BF-024",1,5
"685","1-0-3","7640","WM-201",3,12
"686","2-0-1","7652","BM-013",6,1
"687","1-0-0","7675","WM-001",1,12
"688","2-0-1","7678","BM-015",7,1
"689","2-1-1","7722","BF-003",2,20
"690","3-0-1","7723","LM-206",2,8
"691","1-0-2","7738","WM-011",2,16
"692","1-0-1","7754","WM-015",6,8
"693","2-0-2","7788","BM-018",4,8
"694","1-0-2","7807","WM-013",4,15
"695","1-0-2","7821","WM-011",2,13
"696","2-1-2","7830","BF-007",1,4
"697","2-0-2","7834","BM-022",6,2
"698","1-0-1","7840","WM-010",5,3
"699","1-0-2","7847","WM-013",4,10
"700","2-1-3","7868","BF-024",1,15
"701","2-0-0","7894","BM-009",1,15
"702","1-1-1","7897","WF-005",3,2
"703","2-1-4","7903","BF-203",1,16
"704","1-0-4","7914",NA,5,8
"705","2-0-1","7916","BM-013",6,15
"706","2-0-1","7920","BM-015",7,2
"707","1-0-4","7923",NA,3,20
"708","1-0-1","7930","WM-006",3,18
"709","1-0-1","7945","WM-010",5,20
"710","2-0-1","7948","BM-013",6,16
"711","1-0-4","7958",NA,4,5
"712","2-1-3","7962","BF-024",1,13
"713","1-0-1","7975","WM-015",6,20
"714","2-0-2","7985","BM-029",7,6
"715","1-0-2","7987","WM-002",1,12
"716","2-1-1","8000","BF-003",2,13
"717","2-0-4","8014",NA,5,11
"718","3-0-3","8036","LM-215",2,8
"719","3-0-1","8041","LM-206",2,18
"720","1-0-1","8045","WM-017",7,8
"721","2-0-1","8046","BM-016",8,2
"722","2-0-4","8054","BM-244",2,6
"723","1-0-4","8060",NA,4,14
"724","1-0-1","8099","WM-015",6,3
"725","2-1-3","8104","BF-202",3,1
"726","1-1-4","8107","WF-251",3,12
"727","2-0-1","8111","BM-015",7,18
"728","2-0-2","8118","BM-020",5,9
"729","2-0-1","8129","BM-016",8,14
"730","2-0-2","8140","BM-018",4,14
"731","1-0-0","8141","WM-001",1,1
"732","1-0-1","8149","WM-009",4,19
"733","4-0-4","8162","AM-215",1,2
"734","1-0-3","8171","WM-201",3,7
"735","1-0-1","8188","WM-015",6,6
"736","2-0-0","8191","BM-036",2,17
"737","1-0-3","8205","WM-201",3,18
"738","1-0-2","8207","WM-002",1,20
"739","1-1-2","8223","WF-008",2,15
"740","2-0-1","8239","BM-019",9,14
"741","1-0-1","8248","WM-017",7,6
"742","2-0-2","8253","BM-022",6,9
"743","2-0-1","8258","BM-003",3,11
"744","2-0-4","8259","BM-244",2,9
"745","2-0-2","8264","BM-017",3,13
"746","2-0-4","8267","BM-245",3,1
"747","2-0-4","8278","BM-245",3,8
"748","2-0-1","8285","BM-005",4,13
"749","2-0-1","8292","BM-010",5,9
"750","2-0-4","8306","BM-245",3,9
"751","2-1-4","8307","BF-211",2,1
"752","2-0-1","8308","BM-013",6,12
"753","1-0-2","8354","WM-002",1,14
"754","2-0-1","8355","BM-010",5,13
"755","2-1-0","8358","BF-002",1,18
"756","4-0-4","8379","AM-215",1,14
"757","2-0-0","8403","BM-036",2,11
"758","2-1-1","8416","BF-001",1,17
"759","1-1-2","8438","WF-002",1,10
"760","2-0-1","8471","BM-015",7,10
"761","2-0-4","8479",NA,4,16
"762","2-0-2","8501","BM-020",5,18
"763","2-0-1","8517","BM-016",8,1
"764","2-0-0","8518","BM-036",2,18
"765","2-1-1","8526","BF-003",2,8
"766","2-0-2","8528","BM-022",6,3
"767","3-0-4","8530","LM-236",3,19
"768","2-0-2","8532","BM-017",3,4
"769","1-1-4","8534","WF-240",1,11
"770","1-0-4","8560",NA,3,16
"771","3-0-1","8563","LM-200",1,10
"772","2-0-2","8565","BM-017",3,11
"773","1-0-2","8613","WM-013",4,1
"774","1-0-4","8641",NA,4,18
"775","1-0-4","8642",NA,3,11
"776","2-0-2","8681","BM-020",5,14
"777","1-1-4","8703","WF-251",3,17
"778","2-1-1","8705","BF-004",3,9
"779","2-0-3","8724","BM-025",3,16
"780","1-1-1","8728","WF-001",1,15
"781","1-0-1","8747","WM-010",5,17
"782","1-0-2","8761","WM-012",3,13
"783","1-0-0","8777","WM-001",1,11
"784","1-1-2","8791","WF-002",1,9
"785","1-1-2","8794","WF-002",1,13
"786","3-0-1","8827","LM-206",2,1
"787","2-0-1","8832","BM-016",8,18
"788","2-0-2","8835","BM-020",5,8
"789","2-1-3","8847","BF-027",2,9
"790","3-0-2","8863","LM-201",1,10
"791","3-1-2","8866","LF-202",2,15
"792","1-0-1","8867","WM-009",4,16
"793","2-0-2","8876","BM-020",5,20
"794","2-0-3","8881","BM-033",4,6
"795","2-0-1","8882","BM-003",3,6
"796","2-0-1","8885","BM-015",7,12
"797","1-0-4","8891",NA,5,9
"798","1-0-4","8905",NA,3,6
"799","1-0-4","8909","WM-249",2,3
"800","2-0-1","8924","BM-015",7,4
"801","3-0-2","8929","LM-201",1,12
"802","2-1-4","8938","BF-234",3,1
"803","2-1-1","8939","BF-003",2,11
"804","1-0-2","8962","WM-011",2,14
"805","1-0-4","8970",NA,5,17
"806","2-0-1","9031","BM-016",8,8
"807","2-0-2","9040","BM-029",7,9
"808","1-0-3","9041","WM-201",3,13
"809","1-0-4","9045",NA,4,6
"810","3-1-0","9055","LF-227",1,9
"811","2-0-3","9072","BM-033",4,16
"812","1-1-2","9106","WF-008",2,16
"813","2-0-1","9129","BM-023",10,14
"814","2-0-1","9136","BM-015",7,15
"815","1-0-0","9150","WM-001",1,6
"816","2-0-2","9163","BM-032",8,9
"817","2-0-1","9165","BM-019",9,20
"818","1-0-4","9170",NA,6,17
"819","2-0-0","9172","BM-037",3,11
"820","1-0-4","9216",NA,5,18
"821","2-0-1","9219","BM-019",9,18
"822","1-0-1","9221","WM-010",5,19
"823","2-0-1","9229","BM-016",8,10
"824","1-0-2","9231","WM-012",3,4
"825","1-0-4","9235",NA,6,18
"826","1-0-3","9242","WM-018",1,4
"827","1-1-4","9246",NA,4,12
"828","1-0-1","9268","WM-006",3,7
"829","2-1-1","9277","BF-003",2,18
"830","1-0-3","9283","WM-220",4,18
"831","3-0-2","9295","LM-201",1,1
"832","2-0-2","9303","BM-038",9,12
"833","3-1-3","9328","LF-238",1,4
"834","2-0-1","9336","BM-016",8,4
"835","1-0-4","9337",NA,4,20
"836","1-0-0","9352","WM-024",2,4
"837","2-0-3","9357","BM-025",3,5
"838","2-1-1","9367","BF-005",4,9
"839","1-0-3","9380","WM-201",3,11
"840","1-0-4","9392",NA,6,13
"841","3-0-4","9399","LM-222",2,4
"842","2-1-3","9405","BF-024",1,6
"843","2-0-3","9407","BM-021",2,2
"844","1-0-4","9428",NA,3,3
"845","1-0-1","9435","WM-006",3,1
"846","2-0-1","9436","BM-016",8,15
"847","3-0-1","9437","LM-200",1,6
"848","2-0-1","9442","BM-023",10,20
"849","2-0-1","9467","BM-019",9,4
"850","2-0-3","9473","BM-012",1,20
"851","2-0-2","9475","BM-018",4,13
"852","1-1-3","9484","WF-014",1,11
"853","1-0-0","9488","WM-024",2,8
"854","3-0-0","9495","LM-207",1,10
"855","3-0-4","9501","LM-203",1,1
"856","2-0-1","9506","BM-015",7,16
"857","2-0-1","9509","BM-019",9,15
"858","2-0-2","9523","BM-041",10,12
"859","1-0-2","9524","WM-012",3,7
"860","2-0-4","9534",NA,4,9
"861","3-0-2","9556","LM-202",2,15
"862","1-0-1","9563","WM-004",2,12
"863","2-1-1","9581","BF-004",3,20
"864","2-1-1","9586","BF-001",1,4
"865","1-0-1","9597","WM-006",3,12
"866","3-1-2","9609","LF-200",1,4
"867","2-0-1","9617","BM-024",11,5
"868","1-0-4","9632",NA,4,16
"869","3-0-1","9634","LM-200",1,2
"870","2-0-2","9636","BM-022",6,18
"871","2-0-1","9644","BM-019",9,1
"872","1-0-4","9662",NA,7,17
"873","2-0-1","9685","BM-005",4,11
"874","2-0-1","9686","BM-023",10,4
"875","2-1-1","9690","BF-004",3,3
"876","1-0-2","9730","WM-012",3,14
"877","2-0-1","9745","BM-013",6,13
"878","3-0-1","9746","LM-200",1,9
"879","2-0-2","9747","BM-022",6,8
"880","1-0-4","9785",NA,5,12
"881","2-0-1","9801","BM-015",7,7
"882","2-1-1","9811","BF-006",5,9
"883","2-0-2","9820","BM-018",4,4
"884","1-0-4","9830",NA,5,6
"885","3-0-2","9831","LM-202",2,10
"886","1-0-1","9832","WM-019",8,8
"887","1-0-4","9833",NA,5,5
"888","1-0-4","9844",NA,4,3
"889","2-0-0","9852","BM-009",1,9
"890","2-0-3","9867","BM-034",5,14
"891","2-0-2","9868","BM-029",7,18
"892","2-0-2","9875","BM-022",6,20
"893","2-0-2","9889","BM-029",7,3
"894","1-1-2","9894","WF-008",2,14
"895","1-0-1","9914","WM-010",5,16
"896","2-0-2","9919","BM-020",5,4
"897","2-0-1","9921","BM-016",8,7
"898","1-0-2","9924","WM-014",5,1
"899","2-0-1","9933","BM-024",11,4
"900","3-0-4","9942","LM-222",2,16
"901","2-0-1","9953","BM-016",8,12
"902","1-1-4","9971","WF-246",2,11
"903","1-1-2","9979","WF-002",1,7
"904","1-0-1","10008","WM-019",8,6
"905","2-0-0","10010","BM-037",3,17
"906","2-0-4","10011",NA,4,1
"907","2-1-1","10012","BF-005",4,20
"908","1-0-2","10044","WM-016",6,1
"909","1-0-1","10068","WM-017",7,20
"910","2-0-0","10076","BM-037",3,5
"911","3-0-1","10134","LM-200",1,7
"912","2-0-2","10136","BM-020",5,10
"913","2-0-2","10137","BM-022",6,4
"914","2-0-1","10150","BM-026",12,4
"915","2-0-1","10167","BM-013",6,9
"916","1-0-2","10169","WM-002",1,11
"917","2-0-1","10220","BM-019",9,2
"918","3-1-2","10243","LF-200",1,13
"919","2-1-2","10267","BF-007",1,11
"920","3-0-2","10271","LM-210",3,15
"921","2-0-2","10277","BM-020",5,19
"922","1-0-3","10289","WM-018",1,20
"923","2-0-4","10302","BM-225",1,19
"924","2-0-2","10307","BM-017",3,1
"925","2-0-4","10317",NA,6,11
"926","2-0-4","10319","BM-245",3,5
"927","1-0-1","10327","WM-010",5,5
"928","2-0-0","10334","BM-009",1,19
"929","2-0-2","10336","BM-022",6,19
"930","2-0-1","10359","BM-024",11,14
"931","3-0-2","10369","LM-201",1,9
"932","1-0-3","10377","WM-023",2,20
"933","2-0-1","10383","BM-024",11,19
"934","1-0-2","10390","WM-002",1,3
"935","2-0-2","10394","BM-029",7,20
"936","1-1-4","10401","WF-246",2,5
"937","2-0-4","10406",NA,5,1
"938","1-0-4","10412",NA,5,19
"939","1-0-1","10423","WM-004",2,2
"940","2-0-4","10448",NA,4,3
"941","2-1-4","10449","BF-234",3,13
"942","2-1-4","10452","BF-236",4,1
"943","1-0-2","10484","WM-014",5,15
"944","1-0-2","10491","WM-013",4,6
"945","3-1-1","10492","LF-201",1,11
"946","1-1-4","10498","WF-246",2,8
"947","1-1-1","10499","WF-001",1,8
"948","1-0-2","10502","WM-013",4,2
"949","2-0-1","10509","BM-023",10,15
"950","3-0-3","10528","LM-204",1,7
"951","2-0-1","10536","BM-013",6,17
"952","1-1-2","10540","WF-008",2,7
"953","1-0-4","10544",NA,6,19
"954","1-0-3","10560","WM-220",4,11
"955","1-0-4","10577",NA,8,17
"956","1-1-1","10580","WF-003",2,11
"957","1-0-3","10591","WM-023",2,4
"958","2-1-4","10622","BF-211",2,14
"959","1-0-4","10626",NA,5,16
"960","2-0-1","10643","BM-015",7,13
"961","2-0-2","10645","BM-032",8,18
"962","2-0-2","10652","BM-038",9,9
"963","2-0-0","10656","BM-009",1,12
"964","2-0-2","10659","BM-020",5,16
"965","3-0-1","10660","LM-200",1,15
"966","2-1-2","10673","BF-007",1,19
"967","2-0-2","10677","BM-011",2,7
"968","1-0-3","10686","WM-220",4,13
"969","2-0-4","10699","BM-244",2,19
"970","2-0-3","10700","BM-012",1,4
"971","2-0-4","10703",NA,7,11
"972","2-0-3","10706","BM-033",4,5
"973","1-0-4","10709",NA,3,4
"974","2-0-1","10720","BM-024",11,20
"975","1-0-4","10721",NA,8,7
"976","1-0-4","10748",NA,7,2
"977","3-1-1","10762","LF-201",1,3
"978","1-0-4","10783",NA,5,3
"979","1-0-1","10807","WM-009",4,10
"980","2-1-1","10824","BF-005",4,3
"981","2-0-1","10836","BM-019",9,8
"982","2-0-1","10841","BM-023",10,18
"983","2-1-2","10851","BF-007",1,17
"984","1-1-4","10871","WF-246",2,15
"985","3-0-4","10878","LM-236",3,6
"986","2-0-2","10894","BM-011",2,15
"987","1-0-1","10899","WM-009",4,18
"988","2-0-2","10919","BM-032",8,3
"989","1-0-2","10920","WM-011",2,17
"990","2-0-1","10921","BM-019",9,7
"991","1-0-1","10925","WM-006",3,9
"992","3-0-1","10931","LM-200",1,11
"993","3-0-2","10935","LM-202",2,12
"994","2-0-1","10946","BM-024",11,18
"995","2-0-0","10949","BM-036",2,10
"996","1-1-4","10958","WF-246",2,4
"997","2-0-1","10975","BM-016",8,13
"998","2-0-4","10979",NA,4,8
"999","2-0-2","10985","BM-041",10,9
"1000","2-0-1","10997","BM-015",7,17
