def_id,image_id
61, BF-211
855, BM-033
921, BM-017
1022, BF-007
1024, BM-005
1441, BM-011
1443, BM-021
1642, WM-012
1733, WF-221
1741, BM-015
2182, BF-003
2393, BM-019
2719, BM-001
2910, WM-201
3115, BF-213
3398, BM-036
3635, BF-001
3732, BM-003
3957, LM-206
4105, WM-013
4766, WM-003
4767, WM-023
4841, WM-221
5438, BM-009
5557, BM-212
5593, WM-018
5647, BF-024
6064, WF-002
7324, WM-014
7412, WM-006
7652, BM-002
7678, BM-016
8104, BF-202
8141, WM-001
8267, BM-034
8307, BF-203
8517, BM-013
8613, WM-011
8827, LM-200
8938, BF-224
9295, LM-201
9435, WM-004
9501, LM-215
9644, BM-010
9924, WM-002
10011, BM-025
10044, WM-016
10307, BM-004
10406, BM-012
10452, BF-027
282, WM-220
375, WM-002
408, WF-005
726, WM-012
794, BM-018
838, BM-025
913, BM-004
1066, WM-023
1103, BM-002
1195, BF-024
1361, BM-019
1490, BM-020
1941, BM-003
2002, WM-221
2034, WM-201
2525, WM-003
2703, BM-218
3010, empty
3248, empty
3647, BM-009
3854, BM-001
4098, BM-015
4161, BM-225
4546, BM-011
4629, WM-223
4640, BM-013
4860, BF-001
4943, BM-034
4977, WM-018
4991, empty
5049, WF-003
5270, BM-022
5500, empty
5765, BM-212
6189, WF-221
6207, BM-021
6240, BM-213
6884, WM-013
7032, empty
7834, BM-017
7897, WF-001
7920, BM-005
8046, BM-010
8162, AM-215
9407, BM-012
9634, LM-200
10220, BM-016
10423, WM-004
10502, WM-011
10748, WM-225
505, BM-020
526, WF-022
999, WM-018
1159, BF-203
1286, WM-015
1833, AM-201
2338, empty
2572, BF-005
2624, BM-034
2685, BF-002
2691, BM-213
3234, WM-225
3510, WM-220
3768, BF-024
4029, LM-206
4082, WM-004
4126, BM-017
4426, WF-014
4461, empty
4620, WM-023
4703, LM-208
5213, LM-201
5217, BM-012
5352, BM-002
5607, WM-201
5614, BM-004
5917, BM-018
6314, WM-001
6683, BF-001
7010, BM-218
7079, WM-006
7170, WM-010
7219, BM-032
7224, BM-003
7315, BM-001
7416, LM-200
7840, WM-009
8099, WM-003
8528, BM-029
8909, WM-221
9428, WM-223
9690, BF-004
9844, WM-248
9889, BM-011
10390, WM-002
10448, BM-212
10762, LF-201
10783, empty
10824, BF-003
10919, BM-022
42, BM-020
685, BF-211
853, BM-034
1162, BM-005
1166, BM-019
1385, BM-002
1856, WM-024
2228, BM-009
2773, BF-203
3315, empty
3738, WM-003
3794, BM-212
3848, BM-013
4117, WF-237
4193, LM-215
4290, BM-011
4558, WM-002
5127, WF-001
5449, WM-011
5489, BM-003
5830, WM-004
5985, empty
6171, BF-027
6386, LM-200
6546, LM-206
7199, BM-026
7437, WF-002
7517, BF-024
7830, BF-007
8532, BM-018
8924, BM-001
9231, WM-012
9242, WM-018
9328, empty
9336, BM-016
9352, WM-001
9399, LM-226
9467, BM-015
9586, BF-001
9609, LF-200
9686, BM-024
9820, BM-022
9919, BM-004
9933, BM-010
10137, BM-017
10150, BM-023
10591, WM-023
10700, BM-012
10709, empty
10958, WF-221
115, BF-001
1044, BM-025
1059, BM-023
1130, WM-002
1160, BF-003
1870, BM-036
2006, BM-002
2020, LM-200
2156, WM-023
2195, BM-005
2502, LM-215
2533, WM-001
2586, WM-201
2737, BM-003
2790, WM-220
2901, BM-001
3145, BM-011
3309, WM-004
3322, BM-024
3602, BM-018
3863, WM-006
4122, WF-001
4342, BM-010
4444, WF-003
4724, empty
4996, WM-003
5307, BM-021
5433, BF-002
5543, WM-018
5882, BM-033
6096, BM-009
6129, BM-015
6170, BM-017
6251, BM-020
6377, WM-010
6586, WF-237
7003, empty
7258, BM-016
7457, BM-013
7602, BM-004
7636, BF-024
7958, empty
9357, BM-044
9617, BM-019
9833, empty
10076, BM-037
10319, BM-012
10327, WM-009
10401, WF-221
10706, BM-206
206, WF-002
227, BF-009
552, WM-019
800, BM-034
893, LM-201
1865, WM-018
2476, BM-003
2605, LM-226
2758, BM-002
2955, BM-018
3215, WM-249
3289, BM-025
3790, WM-012
4101, BM-004
4226, WM-002
4258, WM-003
4404, BF-001
4637, BM-021
4686, BF-203
4907, BM-029
4967, BM-020
5134, WM-010
5330, BM-022
5575, BF-007
5852, BF-211
5923, WM-011
6229, WM-023
6379, WM-009
6424, LM-215
6908, BM-011
7259, WM-015
7348, BM-012
7472, empty
7555, empty
7578, BF-024
7985, BM-017
8054, BM-212
8188, WM-004
8248, WM-006
8881, BM-033
8882, BM-001
8905, WM-223
9045, WM-221
9150, WM-001
9405, BF-027
9437, LM-200
9830, WM-248
10008, WM-017
10491, WM-013
10878, LM-203
332, BF-010
700, BM-002
1032, LM-201
1871, BF-001
2072, empty
2353, WM-249
2718, BF-009
2854, BM-011
2897, WM-004
2937, WM-001
3122, empty
3246, WM-002
3408, WF-022
3552, WM-006
3574, BM-010
3642, BM-012
3692, BM-021
3783, WM-023
4028, BF-007
4403, BM-025
4609, WM-248
4655, WM-012
5027, BM-003
5057, BF-203
5114, empty
5223, BF-003
5263, BM-009
5383, BF-002
5850, WF-001
5886, empty
5993, WM-223
6319, BM-001
6801, WM-018
6980, BF-004
7012, BM-015
7245, BM-016
7468, WM-220
7605, BM-034
8171, WM-201
9268, WM-003
9524, WM-011
9801, BM-019
9921, BM-013
9979, WF-002
10134, LM-200
10528, LM-215
10540, WF-008
10677, BM-004
10721, WM-221
10921, BM-005
122, BM-020
189, WM-221
265, BM-005
363, WM-201
763, LM-200
765, empty
829, WM-017
956, BM-013
1796, BM-009
1834, WM-002
1904, BM-004
2078, WM-023
2121, BF-001
2396, empty
3056, BM-019
3146, LM-215
3483, WM-018
3585, WM-248
3761, BM-021
4076, BM-017
4255, WM-006
4436, BM-002
4730, WM-024
5224, BM-015
5354, BM-016
5485, BM-003
5553, WM-019
6205, BM-034
6443, WM-004
6658, BM-012
7257, WM-010
7340, WF-002
7445, LM-201
7723, LM-206
7754, WM-015
7788, BM-011
7914, WM-223
8036, LM-226
8045, WM-003
8278, BM-212
8526, BF-003
8835, BM-022
9031, BM-010
9488, WM-001
9747, BM-018
9832, WM-009
10498, empty
10499, WF-001
10836, BM-001
10979, BM-025
730, AM-205
807, WM-006
919, LM-215
1212, BF-001
1314, BM-041
1446, WM-012
1559, WM-004
1689, WM-223
2405, BF-006
2567, WM-018
2780, empty
3298, WM-011
4441, WF-221
4510, WM-248
5074, BM-004
5096, BF-027
5342, WM-221
5370, BM-010
5420, BM-003
5600, BM-001
5670, WM-001
5745, BM-020
5821, WM-002
6595, BM-033
6862, BM-022
6916, BM-002
7178, BM-025
7323, BM-021
8118, BM-011
8253, BM-032
8259, empty
8292, BM-005
8306, BM-012
8705, BF-003
8791, WF-002
8847, BF-024
8891, empty
9040, BM-029
9055, LF-227
9163, BM-038
9367, BF-004
9534, BM-034
9746, LM-200
9811, BF-005
9852, BM-009
10167, BM-013
10369, LM-201
10652, BM-017
10925, WM-003
10985, BM-018
22, BM-013
208, WM-023
480, BM-036
657, BF-001
1300, WF-022
1522, BM-001
1718, BM-016
1841, WF-014
2165, BM-212
2400, BM-011
2687, WM-221
2841, WM-009
3055, empty
3084, BF-203
3110, WM-024
3255, BM-218
3641, WM-006
3952, WM-201
4182, WM-002
4520, BF-010
4524, WM-001
4593, AM-219
4748, BF-009
4754, BM-213
4870, WM-004
5069, BM-010
5249, BM-002
5369, BM-012
5372, BF-007
5387, BM-020
5563, WM-012
5623, WM-011
5673, BM-004
5968, empty
6360, WM-018
6449, BM-034
6690, BM-005
7099, BM-017
7148, LM-215
7847, WM-013
8438, WF-002
8471, BM-003
8563, LM-200
8863, LM-202
9229, BM-015
9495, LM-207
9831, LM-201
10136, BM-018
10807, WM-003
10949, BM-009
266, LM-203
279, empty
469, BM-037
648, empty
1157, empty
1191, WM-003
1611, BM-212
2152, BF-024
2638, WM-006
2898, WF-002
2907, BM-001
3293, WF-001
3347, BF-027
3412, WM-009
3562, BM-213
3950, WM-018
4139, BM-017
4165, BM-003
4694, WM-201
4835, BM-021
5506, WM-004
5689, WM-010
5939, WM-258
6164, BF-202
6339, BM-034
6668, BM-004
6687, WM-220
7247, BF-003
7508, LM-215
8014, BM-218
8258, BM-002
8403, BM-009
8534, WF-014
8565, BM-011
8642, empty
8777, WM-001
8939, BF-001
9172, BM-036
9380, WM-023
9484, WF-026
9685, BM-005
9971, WF-221
10169, WM-002
10267, BF-007
10317, empty
10492, LF-201
10560, WM-225
10580, WF-003
10703, BM-012
10931, LM-200
163, WM-018
215, BM-032
510, LM-203
603, BM-004
887, BM-020
1467, BM-011
1578, WM-225
1615, WF-014
1629, BM-016
1943, BM-015
2140, empty
2456, WM-023
2543, BM-012
2765, BF-003
2917, WM-004
2959, BM-001
3022, BM-022
3182, BM-010
3508, BF-002
4186, empty
4371, empty
4643, BM-029
4701, WM-201
4881, BM-041
4940, BM-018
5454, WF-001
5635, WF-237
5678, BM-021
6000, BF-001
6574, BF-007
6769, WF-026
7112, BM-034
7234, LM-215
7427, BM-005
7640, WM-220
7675, WM-001
7987, WM-002
8107, WF-221
8308, BM-002
8885, BM-013
8929, LM-201
9246, WF-240
9303, BM-017
9523, BM-038
9563, WM-003
9597, WM-006
9785, WM-221
9953, BM-003
10656, BM-009
10935, LM-202
210, BM-004
366, WM-006
1144, BF-007
1244, WM-221
1530, empty
1682, WM-201
1874, WF-001
2446, WM-003
2484, WM-248
2519, BM-017
2654, BM-003
2681, BM-025
2865, BM-005
3113, LM-201
3480, BM-034
3488, WM-023
3636, BF-211
4476, empty
4612, WM-002
4834, BF-003
4933, BM-012
5128, LM-215
5138, WM-024
5535, WM-001
5727, BM-021
5921, WM-223
6022, empty
6570, WM-249
6631, BM-033
6661, WM-004
7381, BF-027
7488, BM-009
7581, BM-002
7821, WM-012
7962, BF-024
8000, BF-001
8264, BM-011
8285, BM-001
8355, BM-015
8761, WM-011
8794, WF-002
9041, WM-220
9392, empty
9475, BM-018
9745, BM-013
10243, LF-200
10449, BF-203
10643, BM-016
10686, WM-018
10975, BM-010
98, BM-003
277, BM-213
622, WF-014
754, BM-020
844, empty
1128, WF-001
1250, BM-011
1325, BF-203
1430, LM-203
1604, BM-025
2220, BM-034
2320, BF-004
2511, LM-215
2537, BF-003
2766, BM-002
3337, BM-004
3387, BM-212
3631, WF-026
3722, BM-019
3818, BM-010
3841, empty
3925, BM-001
4335, BM-012
4336, BM-015
4761, LM-201
4776, BM-044
5432, empty
5544, BF-005
5634, WM-018
6320, BM-021
6525, WM-221
6996, BF-002
7123, BM-023
7355, WF-002
7526, WM-003
7607, BF-001
8060, empty
8129, BM-024
8140, BM-018
8239, BM-005
8354, WM-002
8379, empty
8681, BM-017
8962, WM-011
9129, BM-013
9730, WM-012
9867, BM-033
9894, WF-008
10359, BM-016
10622, BF-024
70, BM-004
728, LM-202
863, WM-220
934, BM-023
963, WM-003
990, WF-014
1196, WM-012
1241, WM-002
1452, WF-022
2278, empty
2402, BM-034
2438, empty
2583, WF-002
2632, empty
3774, empty
3805, WM-006
3999, BM-021
4159, WM-201
4288, WM-223
4397, BM-025
4931, WM-221
5042, BM-012
5052, WM-023
5326, WM-013
5935, BM-002
5951, LF-202
6249, WM-018
6864, BM-005
7166, BF-007
7206, LM-215
7320, WM-004
7341, BM-015
7459, BM-001
7807, WM-014
7868, BF-024
7894, BM-009
7916, BM-003
8223, WF-008
8728, WF-001
8866, LF-200
9136, BM-016
9436, BM-019
9509, BM-010
9556, LM-201
10271, LM-210
10484, WM-011
10509, BM-013
10660, LM-200
10871, WF-026
10894, BM-011
67, BM-011
533, BF-001
640, BM-036
646, LM-204
654, WM-002
692, BM-018
1729, BM-025
1787, BM-003
2054, WM-006
2262, BM-015
2291, empty
2382, empty
2874, BM-004
2914, BM-020
3438, WM-010
3674, BF-009
4112, BM-009
4408, BM-033
4518, BM-005
4534, BF-007
4641, WF-008
4873, BF-003
5650, BM-013
5655, WF-001
5793, BF-024
6043, WM-248
6264, BF-011
6278, BF-010
6432, WF-014
6481, BF-004
6503, LM-215
6791, empty
6875, WM-003
7037, BM-001
7051, empty
7738, WM-011
7903, BF-203
7948, BM-002
8479, BM-034
8560, WM-223
8724, BM-021
8867, WM-009
9072, BM-012
9106, WF-002
9506, BM-010
9632, WM-221
9914, WM-004
9942, LM-203
10626, WM-249
10659, BM-017
156, WM-003
222, WF-014
446, BF-002
1004, LM-206
1153, WF-022
1329, WM-010
1526, BM-025
1562, LM-200
1795, LF-201
2153, BM-002
2211, BM-005
2410, LF-200
2448, BM-036
2514, BM-004
2618, BM-020
2767, empty
2772, BM-015
2820, empty
2930, BM-017
3229, WM-004
3444, WM-023
3676, BM-212
3941, WM-018
4421, BF-203
4596, BM-034
4634, WM-009
5123, BM-018
5349, WM-001
5515, BM-012
5818, BM-013
6056, WM-002
6606, BM-021
6818, WF-221
6911, LM-207
6939, empty
7455, BM-010
7615, BM-011
8191, BM-037
8416, BF-001
8703, empty
8747, WM-006
8970, empty
9170, WM-221
9662, empty
10010, BM-009
10536, BM-001
10577, empty
10851, BF-007
10920, WM-011
10997, BM-003
154, WF-026
319, empty
364, BM-016
400, BF-001
947, WF-001
1397, empty
1553, LM-203
2053, BM-001
2149, BM-020
2206, BM-022
2216, BM-012
2515, BM-019
2613, WM-221
2723, BM-002
2794, WM-003
2843, WM-201
2943, WM-220
3847, BM-005
4164, WF-014
4368, LM-200
4719, WM-002
4820, empty
4971, BM-009
5646, BM-023
5801, WM-223
6537, WM-009
6766, BM-004
6963, WF-221
7269, empty
7411, BM-018
7930, WM-004
8041, LM-206
8111, BM-024
8205, WM-018
8358, BF-002
8501, BM-011
8518, BM-036
8641, empty
8832, BM-013
9216, empty
9219, BM-003
9235, empty
9277, BF-003
9283, WM-023
9636, BM-032
9868, BM-029
10645, BM-017
10841, BM-010
10899, WM-006
10946, BM-015
101, LM-215
320, BM-021
787, LM-201
837, WM-248
1146, BM-001
1240, BM-022
1343, LM-200
1532, empty
1576, BM-012
2076, BM-018
2100, WM-023
2128, BM-024
2329, BM-002
2504, WM-010
2589, LF-200
2809, BM-010
3019, WM-249
3656, BM-016
3751, BM-025
3788, WM-018
4692, WM-223
4833, WM-004
5177, LM-228
5669, BM-004
5754, BM-020
5760, WM-201
5825, BM-013
6094, WM-002
6267, WF-221
6389, WF-002
6420, BM-019
6744, BM-015
6805, BM-003
7084, WF-001
7231, BM-033
7298, BF-024
7334, BM-023
7631, WM-006
8149, WM-009
8530, LM-226
9221, WM-003
10277, BM-011
10302, empty
10334, BM-009
10336, BM-017
10383, BM-005
10412, WM-221
10544, empty
10673, BF-007
10699, empty
173, BM-017
203, BF-004
1215, empty
1216, WM-010
1283, BM-009
1331, BM-002
1670, BM-019
2310, BM-003
2507, BM-015
2934, BM-016
3205, WM-221
3236, BM-020
3273, BM-036
3285, BM-034
3511, WM-003
3679, WF-221
3869, BM-005
3919, AM-215
4536, WF-026
4553, LM-202
4774, empty
4809, WF-014
5001, BM-023
5103, LM-201
5297, BF-007
5877, BM-018
5997, WM-006
6315, BM-011
6391, BM-013
6788, empty
7023, WM-004
7153, BM-037
7722, BF-005
7923, empty
7945, WM-017
7975, WM-015
8207, WM-002
8876, BM-022
9165, BM-010
9337, WM-201
9442, BM-001
9473, BM-012
9581, BF-003
9875, BM-004
10012, BF-001
10068, WM-009
10289, WM-023
10377, WM-018
10394, BM-029
10720, BM-024
